name,zoning_type,construction_type
Ms. Jerrod Swift,Residential,Masonry
Birdie Nikolaus,Residential,Wood
Maximilian Howe V,Residential,Wood
Iliana Lang,Residential,Wood
Dr. Hannah Kozey,Residential,Masonry
Neal Lang,Commercial,Reinforced Concrete
Kaley Goyette IV,Residential,Wood
Alanis Ryan,Residential,Wood
Roderick Volkman,Residential,Masonry
Zena Hilll,Residential,Masonry
Hilbert Beier,Residential,Wood
Cooper Anderson,Residential,Wood
Wilton Sawayn,Residential,Wood
Mrs. Natalie Gislason,Residential,Wood
Jackson Okuneva,Residential,Wood
Garland Moen,Residential,Wood
Susanna Daugherty,Residential,Wood
Mrs. Myrtice Ullrich,Residential,Wood
Kelly Pacocha,Residential,Wood
Lou West,Residential,Wood
Mrs. Heath Bosco,Commercial,Reinforced Concrete
Sabrina Bayer,Residential,Masonry
Orion Schneider,Residential,Wood
Sallie Padberg,Residential,Wood
Haleigh Jerde,Residential,Wood
Rosendo Jaskolski PhD,Residential,Wood
Charity Trantow,Residential,Wood
Lyric Lind,Residential,Wood
Clarabelle Quitzon,Residential,Wood
Reece Grady,Residential,Wood
Bobby Kautzer,Residential,Wood
Ozella Schneider,Residential,Masonry
Dr. Rosalind Block,Residential,Wood
Edwina Frami,Residential,Wood
Diamond Lesch,Residential,Wood
Norris Rempel,Residential,Wood
Leda Herman,Residential,Wood
Adonis Bins V,Residential,Masonry
Reagan Robel,Residential,Wood
Tyrel Feil,Residential,Wood
Giovani Metz,Residential,Wood
Fredrick Lind,Residential,Wood
Laila Krajcik,Residential,Wood
Anika Lang,Residential,Wood
Jennie Hermann,Residential,Wood
Linnie Tromp,Residential,Wood
Marcus Feest,Residential,Wood
Darian Cremin,Residential,Wood
Dina Price,Residential,Wood
Dexter Moore,Residential,Wood
Jaime Moore,Residential,Wood
Rasheed Pouros V,Residential,Wood
Monserrat Erdman,Residential,Wood
Terrence Brown,Residential,Wood
Sammy Blanda,Residential,Wood
Miss Brice Zboncak,Residential,Wood
Verda Keeling,Residential,Wood
Mr. Solon Robel,Residential,Wood
Nathaniel Cormier,Residential,Wood
Lottie Larson,Residential,Wood
Thomas Simonis,Residential,Wood
Pietro Larkin,Residential,Wood
Meredith Pfeffer,Residential,Wood
Chelsey Hermiston Sr.,Residential,Wood
Joan Gerhold,Residential,Wood
Sonny Crona IV,Commercial,Reinforced Masonry
Sandy Corwin,Residential,Wood
Luther Reichert MD,Residential,Masonry
Mara Wolff,Residential,Wood
Miss Elisha Windler,Residential,Wood
Adelle Schumm,Residential,Wood
Jay Lakin,Residential,Wood
Precious Abbott,Residential,Wood
Jade Schaefer,Residential,Masonry
Lilla Stark,Residential,Masonry
Mrs. Mozelle Gerhold,Residential,Wood
Irving Davis,Residential,Wood
Okey Hermann,Residential,Wood
Franz Beer DVM,Residential,Wood
Francisco Erdman,Residential,Masonry
Raphael Stokes,Residential,Wood
Lindsey Jenkins DDS,Residential,Wood
Adam Fisher,Residential,Wood
Cloyd Eichmann,Residential,Wood
Eddie Rohan,Residential,Wood
Evan Koepp DDS,Residential,Wood
Morgan Bahringer,Residential,Wood
Marcel Cassin,Residential,Wood
Dasia Hilll Jr.,Residential,Wood
Morton Shanahan DDS,Residential,Masonry
Mr. Matt Rodriguez,Residential,Wood
Marvin Conroy,Commercial,Reinforced Masonry
Holly Durgan,Residential,Wood
Keanu Lang DVM,Commercial,Reinforced Masonry
Jerrold Lehner,Residential,Masonry
Reggie Upton,Commercial,Reinforced Masonry
Zackary Trantow,Residential,Wood
Anthony Kulas,Residential,Masonry
Bonita Ferry,Commercial,Reinforced Masonry
Mrs. Mathilde Rath,Residential,Masonry
Madelyn Muller,Residential,Masonry
Electa Kiehn,Residential,Wood
Michel Emmerich V,Residential,Masonry
Clare Mraz,Residential,Wood
Franz Weber Sr.,Residential,Wood
Harley Borer,Commercial,Reinforced Masonry
Dr. Beverly Wuckert,Residential,Wood
Brannon Crooks,Residential,Wood
Ms. Jevon Turner,Residential,Wood
Arne Anderson,Residential,Masonry
Mrs. Trinity Wyman,Residential,Wood
Stan Abernathy,Residential,Masonry
Beverly Haag,Commercial,Reinforced Masonry
Adriel Greenfelder,Residential,Wood
Ernest Emard II,Residential,Wood
Makenna Rosenbaum,Residential,Wood
Jerome O'Kon,Residential,Wood
Richie Senger,Residential,Wood
Kendall Greenfelder,Residential,Wood
Zakary Ryan DVM,Residential,Wood
Morgan Upton,Residential,Wood
Viva Wisozk DVM,Residential,Wood
Mr. Kaleb Rowe,Residential,Wood
Terrill Hirthe,Residential,Wood
Jayce Armstrong,Residential,Wood
Andrew Rohan,Residential,Wood
Moses Kemmer Jr.,Residential,Wood
Ms. Hortense Johns,Residential,Masonry
Narciso Rolfson,Residential,Masonry
Furman Parisian,Residential,Wood
Florencio Hyatt IV,Residential,Masonry
Mr. Lucius Fay,Residential,Wood
Dr. Alia Hackett,Residential,Wood
Miss Marvin Lesch,Residential,Wood
Gaston Williamson,Residential,Wood
Bertram Halvorson,Residential,Wood
Electa Beatty,Residential,Wood
Leif Little,Residential,Wood
Mrs. Aniyah Littel,Residential,Wood
Eleanore Deckow,Residential,Wood
Lela Kunde,Residential,Wood
Alden Raynor DVM,Residential,Wood
Miss Yasmin Jaskolski,Residential,Wood
Larue Kuhn IV,Residential,Wood
Kay Abshire,Residential,Wood
Kenyatta Becker II,Residential,Wood
Robin Tillman,Residential,Wood
Ms. Sheila Collier,Residential,Wood
Rowena Armstrong,Residential,Wood
Wilson Franecki,Residential,Wood
Jamey Terry,Residential,Wood
Garett Streich,Residential,Wood
Raymundo Aufderhar,Residential,Wood
Hailie Jenkins V,Residential,Wood
Alize Barrows,Residential,Wood
Lisandro Kertzmann,Residential,Masonry
Mr. Ettie Monahan,Commercial,Reinforced Masonry
Jerod Rosenbaum,Residential,Masonry
Eveline Abbott V,Residential,Wood
Elaina Conroy,Residential,Masonry
Keshaun O'Keefe,Residential,Wood
Osbaldo Douglas Jr.,Residential,Wood
Dr. German Bosco,Residential,Wood
Mckenzie Kuphal Jr.,Residential,Wood
Mrs. Marc Collier,Residential,Masonry
Pedro Grant,Commercial,Reinforced Masonry
Ms. Emely Cormier,Residential,Masonry
Sherwood Moore,Residential,Wood
Salvador Kulas,Residential,Wood
Cordell Sporer,Residential,Masonry
Emil Steuber Sr.,Commercial,Reinforced Masonry
Braeden Beahan,Residential,Masonry
Manley Fisher,Residential,Wood
Ezekiel Ward,Residential,Wood
Brandon Dibbert,Residential,Wood
Dr. Lexie Howe,Residential,Wood
Dr. Arlo Swift,Residential,Wood
Domenick Ratke DVM,Residential,Wood
Mafalda Hilll,Residential,Wood
Ms. Ernest Zieme,Residential,Wood
Bernardo Lynch,Residential,Wood
Nikko Haley,Residential,Wood
Mr. Ryder Lockman,Residential,Wood
Zander Jacobson,Residential,Wood
Keyon Fahey,Residential,Wood
Abigail Lebsack,Residential,Wood
Lavina Homenick,Residential,Wood
Fermin Ebert V,Residential,Wood
Molly Corkery V,Residential,Wood
Fatima Grimes Sr.,Residential,Wood
Rosella Rohan,Residential,Wood
Priscilla Adams II,Residential,Wood
Verlie Koepp,Residential,Wood
Mariam Considine MD,Residential,Wood
Scarlett Konopelski,Residential,Wood
Marta Langosh,Residential,Wood
Erica Morar,Residential,Wood
